City,Latitude,Longitude
Arkansas,34.7465,-92.2896
Washington,47.7511,-120.7401
Texas,31.9686,-99.9018
California,36.7783,-119.4179
Minnesota,46.7296,-94.6859
Rhode Island,41.5801,-71.4774
Nebraska,41.4925,-99.9018
Pennsylvania,41.2033,-77.1945
Ohio,40.4173,-82.9071
Connecticut,41.6032,-73.0877
Georgia,32.1656,-82.9001
Michigan,44.3148,-85.6024
Indiana,40.2672,-86.1349
New York,43.2994,-74.2179
Missouri,37.9643,-91.8318
Illinois,40.6331,-89.3985
D.C.,38.8951,-77.0364
New Jersey,40.0583,-74.4057
Kentucky,37.8393,-84.27
Virginia,37.3039,-78.4121
Florida,27.9944,-81.7603
North Carolina,35.7596,-79.0193
Massachusetts,42.4072,-71.3824
Idaho,44.0682,-114.742
Maryland,39.0458,-76.6413
Tennessee,35.5175,-86.5804
Louisiana,30.9843,-91.9623
Colorado,39.5501,-105.7821
Arizona,34.0489,-111.0937
Wisconsin,44.2685,-89.6165
Oregon,43.8041,-120.5542
Oklahoma,35.0078,-97.0929
Alabama,32.8067,-86.7911
South Dakota,43.9695,-99.9018
Iowa,41.878,-93.0977
Utah,39.321,-111.0937
Mississippi,32.3547,-89.3985
Nevada,38.8026,-116.4194
Kansas,39.0119,-98.4842
New Mexico,34.5199,-105.8701
Montana,46.8797,-110.3626
Wyoming,43.07597,-107.29028
Alaska,64.2008,-149.4937
Hawaii,20.7984,-156.3319
